Symbol,IssuerName,Sector,Industry,IPO
CTBB,Qwest Corporation,Public Utilities,Telecommunications Equipment,2016
CTDD,Qwest Corporation,Public Utilities,Telecommunications Equipment,2017
CTU,Qwest Corporation,Public Utilities,Telecommunications Equipment,n/a
CTV,Qwest Corporation,Public Utilities,Telecommunications Equipment,2014
CTW,Qwest Corporation,Public Utilities,Telecommunications Equipment,n/a
CTX,Qwest Corporation,Public Utilities,Telecommunications Equipment,n/a
CTY,Qwest Corporation,Public Utilities,Telecommunications Equipment,2013
CTZ,Qwest Corporation,Public Utilities,Telecommunications Equipment,n/a
RRD,R.R. Donnelley & Sons Company,Miscellaneous,Publishing,n/a
RDN,Radian Group Inc.,Finance,Property-Casualty Insurers,n/a
RAS,RAIT Financial Trust,Consumer Services,Real Estate Investment Trusts,1998
RAS^A,RAIT Financial Trust,n/a,n/a,n/a
RAS^B,RAIT Financial Trust,n/a,n/a,n/a
RAS^C,RAIT Financial Trust,n/a,n/a,n/a
RFT,RAIT Financial Trust,Consumer Services,Real Estate Investment Trusts,2014
RFTA,RAIT Financial Trust,Consumer Services,Real Estate Investment Trusts,2014
RL,Ralph Lauren Corporation,Consumer Non-Durables,Apparel,1997
RPT,Ramco-Gershenson Properties Trust,Consumer Services,Real Estate Investment Trusts,n/a
RPT^D,Ramco-Gershenson Properties Trust,n/a,n/a,n/a
RRC,Range Resources Corporation,Energy,Oil & Gas Production,n/a
RNGR,"Ranger Energy Services, Inc.",Energy,Oilfield Services/Equipment,2017
RJF,"Raymond James Financial, Inc.",Finance,Investment Bankers/Brokers/Service,n/a
RYAM,Rayonier Advanced Materials Inc.,Basic Industries,Major Chemicals,2014
RYAM^A,Rayonier Advanced Materials Inc.,n/a,n/a,n/a
RYN,Rayonier Inc.,Consumer Services,Real Estate Investment Trusts,n/a
RTN,Raytheon Company,Capital Goods,Industrial Machinery/Components,n/a
RMAX,"RE/MAX Holdings, Inc.",Finance,Real Estate,2013
RLGY,Realogy Holdings Corp.,Finance,Real Estate,2012
O,Realty Income Corporation,Consumer Services,Real Estate Investment Trusts,n/a
RHT,"Red Hat, Inc.",Technology,"Computer Software: Programming, Data Processing",n/a
RLH,Red Lion Hotels Corporation,Consumer Services,Hotels/Resorts,n/a
RWT,"Redwood Trust, Inc.",Consumer Services,Real Estate Investment Trusts,1995
RBC,Regal Beloit Corporation,Consumer Durables,Metal Fabrications,n/a
RGC,Regal Entertainment Group,Consumer Services,Movies/Entertainment,2002
REG,Regency Centers Corporation,Consumer Services,Real Estate Investment Trusts,1993
RM,Regional Management Corp.,Finance,Finance: Consumer Services,2012
RF,Regions Financial Corporation,Finance,Major Banks,n/a
RF^A,Regions Financial Corporation,n/a,n/a,n/a
RF^B,Regions Financial Corporation,n/a,n/a,n/a
RGS,Regis Corporation,Consumer Services,Other Consumer Services,1991
RGA,"Reinsurance Group of America, Incorporated",Finance,Life Insurance,n/a
RZA,"Reinsurance Group of America, Incorporated",Finance,Life Insurance,n/a
RZB,"Reinsurance Group of America, Incorporated",Finance,Life Insurance,2016
RS,Reliance Steel & Aluminum Co.,Basic Industries,Metal Fabrications,1994
RENX,RELX N.V.,Consumer Services,Publishing,2015
RELX,RELX PLC,Consumer Services,Publishing,2015
RNR,RenaissanceRe Holdings Ltd.,Finance,Property-Casualty Insurers,n/a
RNR^C,RenaissanceRe Holdings Ltd.,n/a,n/a,n/a
RNR^E,RenaissanceRe Holdings Ltd.,n/a,n/a,n/a
SOL,Renesola Ltd.,Technology,Semiconductors,2008
RENN,Renren Inc.,Technology,EDP Services,2011
RSG,"Republic Services, Inc.",Public Utilities,Environmental Services,1998
RMD,ResMed Inc.,Health Care,Medical/Dental Instruments,n/a
REN           ,Resolute Energy Corporation,Energy,Oil & Gas Production,n/a
RFP,Resolute Forest Products Inc.,Basic Industries,Paper,n/a
RSO,Resource Capital Corp.,Consumer Services,Real Estate Investment Trusts,2006
RSO^A,Resource Capital Corp.,n/a,n/a,n/a
RSO^B,Resource Capital Corp.,n/a,n/a,n/a
RSO^C,Resource Capital Corp.,n/a,n/a,n/a
QSR,Restaurant Brands International Inc.,Consumer Services,Restaurants,2014
RPAI,"Retail Properties of America, Inc.",Consumer Services,Real Estate Investment Trusts,2012
RPAI^A,"Retail Properties of America, Inc.",n/a,n/a,n/a
REVG,"REV Group, Inc.",Capital Goods,Auto Manufacturing,2017
REV,"Revlon, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,1996
REX,REX American Resources Corporation,Basic Industries,Major Chemicals,n/a
REXR,"Rexford Industrial Realty, Inc.",Consumer Services,Real Estate Investment Trusts,2013
REXR^A,"Rexford Industrial Realty, Inc.",n/a,n/a,n/a
RXN,Rexnord Corporation,Technology,Industrial Machinery/Components,2012
RXN^A,Rexnord Corporation,n/a,n/a,n/a
RH,RH,Consumer Services,Other Specialty Stores,2012
RICE,Rice Energy Inc.,Energy,Oil & Gas Production,2014
RMP,Rice Midstream Partners LP,Public Utilities,Natural Gas Distribution,2014
RIC,"Richmont Mines, Inc.",Basic Industries,Precious Metals,n/a
RNG,"Ringcentral, Inc.",Technology,EDP Services,2013
RIO,Rio Tinto Plc,Basic Industries,Precious Metals,2002
RBA,Ritchie Bros. Auctioneers Incorporated,Miscellaneous,Business Services,n/a
RAD,Rite Aid Corporation,Health Care,Medical/Nursing Services,n/a
RIV,"RiverNorth Opportunities Fund, Inc.",n/a,n/a,2015
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",n/a,n/a,2016
RLI,RLI Corp.,Finance,Property-Casualty Insurers,n/a
RLJ,RLJ Lodging Trust,Consumer Services,Real Estate Investment Trusts,2011
RLJ^A,RLJ Lodging Trust,n/a,n/a,n/a
RRTS,"Roadrunner Transportation Systems, Inc",Transportation,Oil Refining/Marketing,2010
RHI,Robert Half International Inc.,Technology,Professional Services,n/a
ROK,"Rockwell Automation, Inc.",Capital Goods,Industrial Machinery/Components,n/a
COL,"Rockwell Collins, Inc.",Capital Goods,Military/Government/Technical,n/a
RCI,"Rogers Communication, Inc.",Consumer Services,Television Services,n/a
ROG,Rogers Corporation,Basic Industries,Major Chemicals,n/a
ROL,"Rollins, Inc.",Finance,Diversified Commercial Services,n/a
ROP,"Roper Technologies, Inc.",Capital Goods,Industrial Machinery/Components,1992
RST,Rosetta Stone,Technology,Computer Software: Prepackaged Software,2009
RDC,Rowan Companies plc,Energy,Oil & Gas Production,n/a
RY,Royal Bank Of Canada,Finance,Commercial Banks,n/a
RY^S.CL,Royal Bank Of Canada,n/a,n/a,n/a
RY^T,Royal Bank Of Canada,n/a,n/a,n/a
RBS,Royal Bank Scotland plc (The),Finance,Commercial Banks,n/a
RBS^S,Royal Bank Scotland plc (The),n/a,n/a,n/a
RCL,Royal Caribbean Cruises Ltd.,Consumer Services,Marine Transportation,1993
RDS.A,Royal Dutch Shell PLC,n/a,n/a,n/a
RDS.B,Royal Dutch Shell PLC,n/a,n/a,n/a
RGT,"Royce Global Value Trust, Inc.",n/a,n/a,2013
RMT,"Royce Micro-Cap Trust, Inc.",n/a,n/a,n/a
RVT,"Royce Value Trust, Inc.",n/a,n/a,1986
RES,"RPC, Inc.",Energy,Oilfield Services/Equipment,n/a
RPM,RPM International Inc.,Basic Industries,Paints/Coatings,n/a
RSPP,"RSP Permian, Inc.",Energy,Oil & Gas Production,2014
RT,"Ruby Tuesday, Inc.",Consumer Services,Restaurants,n/a
RTEC,"Rudolph Technologies, Inc.",Capital Goods,Industrial Machinery/Components,1999
R,"Ryder System, Inc.",Consumer Services,Rental/Leasing Companies,n/a
RYI,Ryerson Holding Corporation,Basic Industries,Metal Fabrications,2014
RHP,"Ryman Hospitality Properties, Inc.",Consumer Services,Real Estate Investment Trusts,n/a
SPGI,S&P Global Inc.,Finance,Finance: Consumer Services,n/a
SBR,Sabine Royalty Trust,Energy,Oil & Gas Production,n/a
SB,"Safe Bulkers, Inc",Transportation,Marine Transportation,2008
SB^B,"Safe Bulkers, Inc",n/a,n/a,n/a
SB^C,"Safe Bulkers, Inc",n/a,n/a,n/a
SB^D,"Safe Bulkers, Inc",n/a,n/a,n/a
SFE,"Safeguard Scientifics, Inc.",Finance,Finance/Investors Services,n/a
SAFE,"Safety, Income and Growth, Inc.",Consumer Services,Real Estate,2017
CRM,Salesforce.com Inc,Technology,Computer Software: Prepackaged Software,2004
SMM,Salient Midstream & MLP Fund,n/a,n/a,2012
SBH,"Sally Beauty Holdings, Inc.",Consumer Services,Other Specialty Stores,n/a
SJT,San Juan Basin Royalty Trust,Energy,Oil & Gas Production,n/a
SN,Sanchez Energy Corporation,Energy,Oil & Gas Production,2011
SD,"SandRidge Energy, Inc.",Energy,Oil & Gas Production,2016
SDT,SandRidge Mississippian Trust I,Energy,Oil & Gas Production,2011
SDR,SandRidge Mississippian Trust II,Energy,Oil & Gas Production,2012
PER,SandRidge Permian Trust,Energy,Oil & Gas Production,2011
SNY,Sanofi,Health Care,Major Pharmaceuticals,n/a
SC,Santander Consumer USA Holdings Inc.,Finance,Finance: Consumer Services,2014
SOV^C,"Santander Holdings USA, Inc.",n/a,n/a,n/a
SAP,SAP SE,Technology,Computer Software: Prepackaged Software,n/a
SAB,Saratoga Investment Corp,n/a,n/a,2016
SAR,Saratoga Investment Corp,n/a,n/a,n/a
SSL,Sasol Ltd.,Energy,Oil & Gas Production,n/a
BFS,"Saul Centers, Inc.",Consumer Services,Real Estate Investment Trusts,1993
BFS^C,"Saul Centers, Inc.",n/a,n/a,n/a
SCG,Scana Corporation,Public Utilities,Power Generation,n/a
SLB,Schlumberger N.V.,Energy,Oilfield Services/Equipment,n/a
SNDR,"Schneider National, Inc.",Transportation,Trucking Freight/Courier Services,2017
SWM,"Schweitzer-Mauduit International, Inc.",Basic Industries,Paper,n/a
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Technology,EDP Services,n/a
SALT,Scorpio Bulkers Inc.,Transportation,Marine Transportation,2013
SLTB,Scorpio Bulkers Inc.,Transportation,Marine Transportation,2014
SBBC,Scorpio Tankers Inc.,Transportation,Marine Transportation,2017
SBNA,Scorpio Tankers Inc.,Transportation,Marine Transportation,2014
SBNB,Scorpio Tankers Inc.,Transportation,Marine Transportation,2014
STNG,Scorpio Tankers Inc.,Transportation,Marine Transportation,2010
SMG,Scotts Miracle-Gro Company (The),Basic Industries,Agricultural Chemicals,1992
KMM,Scudder Multi-Market Income Trust,n/a,n/a,n/a
KTF,Scudder Municiple Income Trust,n/a,n/a,1988
KST,Scudder Strategic Income Trust,n/a,n/a,1994
KSM,Scudder Strategic Municiple Income Trust,n/a,n/a,1989
SA,"Seabridge Gold, Inc.",Basic Industries,Precious Metals,n/a
CKH,"SEACOR Holdings, Inc.",Transportation,Marine Transportation,n/a
SMHI,SEACOR Marine Holdings Inc.,Transportation,Marine Transportation,2017
SDRL,Seadrill Limited,Energy,Oil & Gas Production,n/a
SDLP,Seadrill Partners LLC,Energy,Oil & Gas Production,2012
SEE,Sealed Air Corporation,Basic Industries,Major Chemicals,n/a
SSW,Seaspan Corporation,Transportation,Marine Transportation,2005
SSW^D,Seaspan Corporation,n/a,n/a,n/a
SSW^E,Seaspan Corporation,n/a,n/a,n/a
SSW^G,Seaspan Corporation,n/a,n/a,n/a
SSW^H,Seaspan Corporation,n/a,n/a,n/a
SSWN,Seaspan Corporation,Transportation,Marine Transportation,2014
SEAS,"SeaWorld Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,2013
JBN,Select Asset Inc.,Finance,Finance: Consumer Services,n/a
JBR,Select Asset Inc.,Finance,Finance: Consumer Services,n/a
WTTR,"Select Energy Services, Inc.",Energy,Oilfield Services/Equipment,2017
SEM,Select Medical Holdings Corporation,Health Care,Hospital/Nursing Management,2009
SGZA,"Selective Insurance Group, Inc.",Finance,Property-Casualty Insurers,n/a
SEMG,Semgroup Corporation,Energy,Oilfield Services/Equipment,n/a
SMI,Semiconductor  Manufacturing International Corporation,Technology,Semiconductors,2004
SRE,Sempra Energy,Public Utilities,Natural Gas Distribution,n/a
ST,Sensata Technologies Holding N.V.,Capital Goods,Industrial Machinery/Components,2010
SXT,Sensient Technologies Corporation,Basic Industries,Major Chemicals,n/a
SQNS,Sequans Communications S.A.,Technology,Semiconductors,2011
SRG,Seritage Growth Properties,Finance,Real Estate,2015
SCI,Service Corporation International,Consumer Services,Other Consumer Services,n/a
SERV,"ServiceMaster Global Holdings, Inc.",Consumer Services,Other Consumer Services,2014
NOW,"ServiceNow, Inc.",Technology,Computer Software: Prepackaged Software,2012
SHAK,"Shake Shack, Inc.",Consumer Services,Restaurants,2015
SJR,Shaw Communications Inc.,Consumer Services,Television Services,n/a
SHLX,"Shell Midstream Partners, L.P.",Energy,Natural Gas Distribution,2014
SHW,Sherwin-Williams Company (The),Consumer Services,RETAIL: Building Materials,n/a
SHG,Shinhan Financial Group Co Ltd,Finance,Major Banks,n/a
SFL,Ship Finance International Limited,Transportation,Marine Transportation,n/a
SHOP,Shopify Inc.,Technology,Computer Software: Prepackaged Software,2015
SSTK,"Shutterstock, Inc.",Technology,EDP Services,2012
SBGL,Sibanye Gold Limited,Basic Industries,Precious Metals,n/a
SIG,Signet Jewelers Limited,Consumer Services,Consumer Specialties,n/a
SSNI,"Silver Spring Networks, Inc.",Technology,Computer Communications Equipment,2013
SBOW,"SilverBow Resorces, Inc.",Energy,Oil & Gas Production,n/a
SPG,"Simon Property Group, Inc.",Consumer Services,Real Estate Investment Trusts,n/a
SPG^J,"Simon Property Group, Inc.",n/a,n/a,n/a
SSD,"Simpson Manufacturing Company, Inc.",Capital Goods,Industrial Machinery/Components,n/a
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",Basic Industries,Major Chemicals,n/a
SITE,"SiteOne Landscape Supply, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,2016
SIX,Six Flags Entertainment Corporation New,Consumer Services,Services-Misc. Amusement & Recreation,n/a
SJW,SJW Group,Public Utilities,Water Supply,n/a
SKM,"SK Telecom Co., Ltd.",Public Utilities,Telecommunications Equipment,n/a
SKX,"Skechers U.S.A., Inc.",Consumer Non-Durables,Shoe Manufacturing,1999
SLG,SL Green Realty Corporation,Consumer Services,Real Estate Investment Trusts,1997
SLG^I,SL Green Realty Corporation,n/a,n/a,n/a
SM,SM Energy Company,Energy,Oil & Gas Production,n/a
SFS,Smart,Consumer Services,Food Chains,2014
SNN,"Smith & Nephew SNATS, Inc.",Health Care,Industrial Specialties,n/a
AOS,Smith (A.O.) Corporation,Consumer Durables,Consumer Electronics/Appliances,n/a
SNAP,Snap Inc.,Technology,"Computer Software: Programming, Data Processing",2017
SNA,Snap-On Incorporated,Capital Goods,Industrial Machinery/Components,n/a
IPOA.U,Social Capital Hedosophia Holdings Corp.,n/a,n/a,2017
SQM,Sociedad Quimica y Minera S.A.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),1993
SLRA,Solar Capital Ltd.,n/a,n/a,n/a
SOI,"Solaris Oilfield Infrastructure, Inc.",Energy,Metal Fabrications,2017
SAH,"Sonic Automotive, Inc.",Consumer Durables,Automotive Aftermarket,1997
SON,Sonoco Products Company,Consumer Durables,Containers/Packaging,n/a
SNE,Sony Corp Ord,Consumer Non-Durables,Consumer Electronics/Appliances,n/a
BID,Sotheby&#39;s,Miscellaneous,Business Services,1988
SOR,"Source Capital, Inc.",n/a,n/a,n/a
SJI,"South Jersey Industries, Inc.",Public Utilities,Oil/Gas Transmission,n/a
SXE,"Southcross Energy Partners, L.P.",Public Utilities,Natural Gas Distribution,2012
SCE^G,Southern California Edison Company,n/a,n/a,n/a
SCE^H,Southern California Edison Company,n/a,n/a,n/a
SCE^J,Southern California Edison Company,n/a,n/a,n/a
SCE^K,Southern California Edison Company,n/a,n/a,n/a
SCE^L,Southern California Edison Company,n/a,n/a,n/a
SO,Southern Company (The),Public Utilities,Electric Utilities: Central,n/a
SOJA,Southern Company (The),Public Utilities,Electric Utilities: Central,2015
SOJB,Southern Company (The),Public Utilities,Electric Utilities: Central,2016
SCCO,Southern Copper Corporation,Basic Industries,Precious Metals,n/a
