Symbol,IssuerName,Sector,Industry,IPO
DNA3,DORIC NIMROD AIR THREE LD,Industrial Goods & Services,Industrials,02/07/2013
DNA2,DORIC NIMROD AIR TWO LIMITED,Industrial Goods & Services,Industrials,14/07/2011
DOTD,DOTDIGITAL GROUP PLC,Technology,Technology,29/03/2011
DDV1,DOWNING DISTRIBUTION VCT 1 PLC,Financial Services,Financials,15/11/2013
D467,DOWNING FOUR VCT PLC,Financial Services,Financials,30/07/2015
D4G,DOWNING FOUR VCT PLC,Financial Services,Financials,21/02/2017
D4H,DOWNING FOUR VCT PLC,Financial Services,Financials,21/02/2017
D4LC,DOWNING FOUR VCT PLC,Financial Services,Financials,30/07/2015
D4OA,DOWNING FOUR VCT PLC,Financial Services,Financials,30/07/2015
D4OO,DOWNING FOUR VCT PLC,Financial Services,Financials,30/07/2015
D4SA,DOWNING FOUR VCT PLC,Financial Services,Financials,30/07/2015
D4SO,DOWNING FOUR VCT PLC,Financial Services,Financials,30/07/2015
DO1B,DOWNING FOUR VCT PLC,Financial Services,Financials,15/01/2010
DO1C,DOWNING FOUR VCT PLC,Financial Services,Financials,15/01/2010
DO1D,DOWNING FOUR VCT PLC,Financial Services,Financials,22/12/2011
DSM,DOWNING STATEGIC MICRO-CAP INV TRST,Financial Services,Financials,09/05/2017
DP3D,DOWNING THREE VCT PLC,Financial Services,Financials,12/01/2010
DP3E,DOWNING THREE VCT PLC,Financial Services,Financials,12/01/2010
DP3F,DOWNING THREE VCT PLC,Financial Services,Financials,06/03/2012
DP3H,DOWNING THREE VCT PLC,Financial Services,Financials,11/03/2014
DP3J,DOWNING THREE VCT PLC,Financial Services,Financials,19/02/2015
DP2D,DOWNING TWO VCT PLC,Financial Services,Financials,12/01/2010
DP2E,DOWNING TWO VCT PLC,Financial Services,Financials,12/01/2010
DP2F,DOWNING TWO VCT PLC,Financial Services,Financials,06/03/2012
DP2G,DOWNING TWO VCT PLC,Financial Services,Financials,11/04/2013
DP2K,DOWNING TWO VCT PLC,Financial Services,Financials,29/02/2016
DPA,DP AIRCRAFT I LIMITED,Industrial Goods & Services,Industrials,04/10/2013
DPEU,DP EURASIA N.V.,Travel & Leisure,Consumer Services,01/07/2017
DPP,DP POLAND PLC,Travel & Leisure,Consumer Services,28/07/2010
DRG,DRAGANFLY INVESTMENTS LTD,Financial Services,Financials,27/11/2014
DUPD,DRAGON-UKRAINIAN PROP. & DEV. PLC,Real Estate,Financials,01/06/2007
GROW,DRAPER ESPRIT PLC,Financial Services,Financials,15/06/2016
DRX,DRAX GROUP PLC,Utilities,Utilities,30/04/2007
DRV,DRIVER GROUP PLC,Industrial Goods & Services,Industrials,20/06/2006
DRIP,DRUM INCOME PLUS REIT PLC,Real Estate,Financials,29/05/2015
DKE,DUKEMOUNT CAPITAL PLC,Financial Services,Financials,29/03/2017
DUKE,DUKE ROYALTY LIMITED,Financial Services,Financials,17/06/2015
DNE,DUNEDIN ENTERPRISE INV TST PLC,Financial Services,Financials,12/12/2005
DIG,DUNEDIN INCOME GROWTH INV TST PLC,Financial Services,Financials,08/12/2006
DNDL,DUNEDIN SMALLER COS INV TST PLC,Financial Services,Financials,30/11/2006
DNLM,DUNELM GROUP PLC,Retail,Consumer Services,18/06/2007
DX.,DX (GROUP) PLC,Industrial Goods & Services,Industrials,27/02/2014
EYE,EAGLE EYE SOLUTIONS GROUP PLC,Technology,Technology,16/04/2014
EPO,EARTHPORT PLC,Technology,Technology,13/03/2007
EEP,EASTERN EUROPEAN PROPERTY FD LD,Real Estate,Financials,21/03/2007
EZH,EASYHOTEL PLC,Travel & Leisure,Consumer Services,30/06/2014
EZJ,EASYJET PLC,Travel & Leisure,Consumer Services,05/03/2012
EBQ,EBIQUITY PLC,Media,Consumer Services,02/06/2000
ELLA,ECCLESIASTICAL INSURANCE OFFICE PLC,,,13/12/2004
ECHO,ECHO ENERGY PLC,Oil & Gas,Oil & Gas,23/05/2017
ECK,ECKOH PLC,Technology,Technology,27/06/2003
EAH,ECO ANIMAL HEALTH GROUP PLC,Healthcare,Health Care,17/06/2008
ECO,ECO (ATLANTIC) OIL & GAS LTD,Oil & Gas,Oil & Gas,08/02/2017
EGL,ECOFIN GLBL UTIL & INF TST PLC,Financial Services,Financials,26/09/2016
ECR,ECR MINERALS PLC,Basic Resources,Basic Materials,22/11/2016
ECSC,ECSC GROUP PLC,Technology,Technology,14/12/2016
ESL,EDDIE STOBART LOGISTICS PLC,Industrial Goods & Services,Industrials,25/04/2017
EDEN,EDEN RESEARCH PLC,Healthcare,Health Care,11/05/2012
EDL,EDENVILLE ENERGY PLC,Basic Resources,Basic Materials,31/08/2016
EDGH,EDGE PERFORMANCE VCT PLC,Financial Services,Financials,11/04/2012
EDGI,EDGE PERFORMANCE VCT PLC,Financial Services,Financials,11/04/2012
EFM,EDINBURGH DRAGON TRUST PLC,Financial Services,Financials,08/07/2005
EDIN,EDINBURGH INV TST PLC,Financial Services,Financials,31/10/2003
EWI,EDINBURGH WORLDWIDE INV TRUST PLC,Financial Services,Financials,02/12/2005
EPIC,EDISTON PROPERTY INVESTMENT COMPANY,Real Estate,Financials,28/10/2014
EFR,EF REALISATION COMPANY LD,,,26/09/2016
EDR,EGDON RESOURCES PLC,Oil & Gas,Oil & Gas,17/01/2008
EGS,EG SOLUTIONS PLC,Technology,Technology,20/06/2006
EIG,EI GROUP PLC,Travel & Leisure,Consumer Services,22/09/2008
EIH,EIH PLC,Financial Services,Financials,23/03/2007
EJFI,EJF INVESTMENTS LTD,,,07/04/2017
EKF,EKF DIAGNOSTICS HOLDINGS PLC,Healthcare,Health Care,21/03/2007
ELA,ELAND OIL & GAS PLC,Oil & Gas,Oil & Gas,03/09/2012
EDV,ELDERSTREET VCT PLC,Financial Services,Financials,14/11/2002
ELCO,ELECOSOFT PLC,Technology,Technology,22/03/2006
ELTA,ELECTRA PRIVATE EQUITY PLC,Financial Services,Financials,31/10/2003
ECM,ELECTROCOMPONENTS PLC,Industrial Goods & Services,Industrials,17/04/2001
EDP,ELECTRONIC DATA PROCESSING PLC,Technology,Technology,08/11/1999
EHG,ELEGANT HOTELS GROUP PLC,Travel & Leisure,Consumer Services,26/05/2015
EKT,ELEKTRON TECHNOLOGY PLC,Industrial Goods & Services,Industrials,19/09/2006
ELM,ELEMENTIS PLC,Chemicals,Basic Materials,22/09/2008
ELX,EL ORO LTD,Financial Services,Financials,28/11/2011
EMIS,EMIS GROUP PLC,Technology,Technology,29/03/2010
EML,EMMERSON PLC,Financial Services,Financials,15/02/2017
ESP,EMPIRIC STUDENT PROPERTY PLC,Real Estate,Financials,30/06/2014
EMR,EMPRESARIA GROUP PLC,Industrial Goods & Services,Industrials,22/06/2005
EME,EMPYREAN ENERGY PLC,Oil & Gas,Oil & Gas,27/07/2005
ENDV,ENDEAVOUR INTERNATIONAL CORPORATION,Oil & Gas,Oil & Gas,18/11/2010
ENGI,ENERGISER INVESTMENTS PLC,Financial Services,Financials,20/12/2005
ENQ,ENQUEST PLC,Oil & Gas,Oil & Gas,06/04/2010
NTQ,ENTEQ UPSTREAM PLC,Oil & Gas,Oil & Gas,01/07/2011
ETO,ENTERTAINMENT ONE LD,Media,Consumer Services,15/07/2010
ENTU,ENTU (UK) PLC,Retail,Consumer Services,30/10/2014
ESO,EPE SPECIAL OPPORTUNITIES PLC,Financial Services,Financials,16/06/2009
EPG,EP GLOBAL OPPORTUNITIES TRUST PLC,Financial Services,Financials,18/11/2005
EPWN,EPWIN GROUP PLC,Construction & Materials,Industrials,24/07/2014
EQT,EQTEC PLC,Utilities,Utilities,23/12/2013
PAL,EQUATORIAL PALM OIL PLC,Food & Beverage,Consumer Goods,26/02/2010
EQN,EQUINITI GROUP PLC,Industrial Goods & Services,Industrials,30/10/2015
ERGO,ERGOMED PLC,Healthcare,Health Care,15/07/2014
ESC,ESCAPE HUNT PLC,Travel & Leisure,Consumer Services,08/07/2016
ESCH,ESCHER GROUP HOLDINGS PLC,Technology,Technology,08/08/2011
ESG,ESERVGLOBAL LD,Technology,Technology,18/10/2004
ESNT,ESSENTRA PLC,Industrial Goods & Services,Industrials,06/06/2005
ET.,ESTABLISHMENT INVESTMENT TRUST PLC,Financial Services,Financials,18/03/2002
ESUR,ESURE GROUP PLC,Insurance,Financials,27/03/2013
ETX,E-THERAPEUTICS PLC,Healthcare,Health Care,28/11/2007
ENET,ETHERNITY NETWORKS LD,Technology,Technology,29/06/2017
EUA,EURASIA MINING PLC,Basic Resources,Basic Materials,25/03/2004
ECEL,EUROCELL PLC,Construction & Materials,Industrials,07/03/2015
ERM,EUROMONEY INSTITUTIONAL INVEST.PLC,Media,Consumer Services,18/10/2006
EOG,EUROPA OIL & GAS (HOLDINGS) PLC,Oil & Gas,Oil & Gas,11/11/2004
49BI,EUROPEAN ASSETS TRUST NV,Financial Services,Financials,02/12/1999
EAT,EUROPEAN ASSETS TRUST NV,Financial Services,Financials,14/02/2000
EMH,EUROPEAN METALS HOLDINGS LIMITED,Basic Resources,Basic Materials,10/12/2015
ERET,EUROPEAN REAL ESTATE IT LD,Real Estate,Financials,25/08/2017
EWG,EUROPEAN WEALTH GROUP LIMITED,Financial Services,Financials,07/05/2014
EUSP,EU SUPPLY PLC,Technology,Technology,13/11/2013
